process,model,case,score,rate,rate_sd
SEAS,MLPQR_CAL,A1p,S_mean,0.6077777777777778,0.013877773329774181
SEAS,MLPQR_CAL,A2,S_gls_b,0.3666666666666667,0.026034165586355504
SEAS,MLPQR_CAL,A2,S_gls_ema,0.26555555555555554,0.008388704928078595
SEAS,MLPQR_CAL,A2,S_gls_emp,0.16,0.012018504251546637
SEAS,MLPQR_CAL,A2,S_gls_hybrid,0.20555555555555557,0.015030832509409637
SEAS,MLPQR_CAL,A2,S_gls_pert,0.3666666666666667,0.01855921454276674
SEAS,MLPQR_CAL,A2,S_gls_pool,0.26666666666666666,0.014529663145135588
SEAS,MLPQR_CAL,A2,S_mean,0.5822222222222222,0.02268953095184682
SEAS,MLPQR_CAL,A3,S_gls_b,0.22999999999999998,0.02
SEAS,MLPQR_CAL,A3,S_gls_ema,0.1322222222222222,0.0038490017945974958
SEAS,MLPQR_CAL,A3,S_gls_emp,0.05333333333333334,0.013333333333333332
SEAS,MLPQR_CAL,A3,S_gls_hybrid,0.08888888888888889,0.012619796324000605
SEAS,MLPQR_CAL,A3,S_gls_pert,0.23666666666666666,0.023333333333333334
SEAS,MLPQR_CAL,A3,S_gls_pool,0.10888888888888888,0.015030832509409649
SEAS,MLPQR_CAL,A3,S_mean,0.4166666666666667,0.024037008503093243
SEAS,MLPQR_CAL,A4,S_gls_b,0.3111111111111111,0.0411411301812747
SEAS,MLPQR_CAL,A4,S_gls_ema,0.19999999999999998,0.034641016151377546
SEAS,MLPQR_CAL,A4,S_gls_emp,0.10777777777777776,0.015752718754175367
SEAS,MLPQR_CAL,A4,S_gls_hybrid,0.14333333333333334,0.02848001248439177
SEAS,MLPQR_CAL,A4,S_gls_pert,0.31555555555555553,0.03532914021241035
SEAS,MLPQR_CAL,A4,S_gls_pool,0.17666666666666667,0.02516611478423584
SEAS,MLPQR_CAL,A4,S_mean,0.4955555555555556,0.02523959264800122
SEAS,MLPQR_CAL,N0,S_gls_b,0.23111111111111113,0.02009237924447236
SEAS,MLPQR_CAL,N0,S_gls_ema,0.12555555555555556,0.005091750772173161
SEAS,MLPQR_CAL,N0,S_gls_emp,0.04888888888888889,0.006938886664887109
SEAS,MLPQR_CAL,N0,S_gls_hybrid,0.08777777777777777,0.009622504486493768
SEAS,MLPQR_CAL,N0,S_gls_pert,0.2388888888888889,0.022194427061597955
SEAS,MLPQR_CAL,N0,S_gls_pool,0.11555555555555556,0.015030832509409649
SEAS,MLPQR_CAL,N0,S_mean,0.43111111111111117,0.021169509870286287
SEAS,ORACLE,A0,S_gls_b,0.0,0.0
SEAS,ORACLE,A0,S_gls_ema,0.0,0.0
SEAS,ORACLE,A0,S_gls_emp,0.0,0.0
SEAS,ORACLE,A0,S_gls_hybrid,0.0,0.0
SEAS,ORACLE,A0,S_gls_pert,0.0,0.0
SEAS,ORACLE,A0,S_gls_pool,0.0,0.0
SEAS,ORACLE,A0,S_mean,0.0,0.0
SEAS,ORACLE,A1,S_gls_b,0.0,0.0
SEAS,ORACLE,A1,S_gls_ema,0.0,0.0
SEAS,ORACLE,A1,S_gls_emp,0.0,0.0
SEAS,ORACLE,A1,S_gls_hybrid,0.0,0.0
SEAS,ORACLE,A1,S_gls_pert,0.0,0.0
SEAS,ORACLE,A1,S_gls_pool,0.0,0.0
SEAS,ORACLE,A1,S_mean,1.0,0.0
SEAS,ORACLE,A1p,S_gls_b,0.0,0.0
SEAS,ORACLE,A1p,S_gls_ema,0.0,0.0
SEAS,ORACLE,A1p,S_gls_emp,0.0,0.0
SEAS,ORACLE,A1p,S_gls_hybrid,0.0,0.0
SEAS,ORACLE,A1p,S_gls_pert,0.0,0.0
SEAS,ORACLE,A1p,S_gls_pool,0.0,0.0
SEAS,ORACLE,A1p,S_mean,1.0,0.0
SEAS,ORACLE,A2,S_gls_b,0.25666666666666665,0.02185812841434001
SEAS,ORACLE,A2,S_gls_ema,0.2511111111111111,0.021688023662159033
SEAS,ORACLE,A2,S_gls_emp,0.26666666666666666,0.016666666666666677
SEAS,ORACLE,A2,S_gls_hybrid,0.25666666666666665,0.006666666666666654
SEAS,ORACLE,A2,S_gls_pert,0.2511111111111111,0.021688023662159033
SEAS,ORACLE,A2,S_gls_pool,0.2511111111111111,0.021688023662159033
SEAS,ORACLE,A2,S_mean,0.6699999999999999,0.021858128414339983
SEAS,ORACLE,A3,S_gls_b,0.04888888888888889,0.01575271875417536
SEAS,ORACLE,A3,S_gls_ema,0.04777777777777778,0.013877773329774221
SEAS,ORACLE,A3,S_gls_emp,0.05777777777777778,0.005091750772173155
SEAS,ORACLE,A3,S_gls_hybrid,0.04777777777777778,0.010715167512214392
SEAS,ORACLE,A3,S_gls_pert,0.04777777777777778,0.013877773329774221
SEAS,ORACLE,A3,S_gls_pool,0.04777777777777778,0.013877773329774221
SEAS,ORACLE,A3,S_mean,0.3788888888888889,0.05091750772173159
SEAS,ORACLE,A4,S_gls_b,0.1822222222222222,0.022194427061597966
SEAS,ORACLE,A4,S_gls_ema,0.18555555555555556,0.01503083250940964
SEAS,ORACLE,A4,S_gls_emp,0.20333333333333334,0.04484541349024572
SEAS,ORACLE,A4,S_gls_hybrid,0.18444444444444444,0.025018511664883787
SEAS,ORACLE,A4,S_gls_pert,0.18555555555555556,0.01503083250940964
SEAS,ORACLE,A4,S_gls_pool,0.18555555555555556,0.01503083250940964
SEAS,ORACLE,A4,S_mean,0.5355555555555556,0.02341256389522835
SEAS,ORACLE,N0,S_gls_b,0.044444444444444446,0.013877773329774216
SEAS,ORACLE,N0,S_gls_ema,0.044444444444444446,0.013877773329774216
SEAS,ORACLE,N0,S_gls_emp,0.056666666666666664,0.01
SEAS,ORACLE,N0,S_gls_hybrid,0.052222222222222225,0.010715167512214394
SEAS,ORACLE,N0,S_gls_pert,0.044444444444444446,0.013877773329774216
SEAS,ORACLE,N0,S_gls_pool,0.044444444444444446,0.013877773329774216
SEAS,ORACLE,N0,S_mean,0.37777777777777777,0.05747785402834474
WN,MLPQR,A0,S_gls_b,0.23666666666666666,0.014529663145135596
WN,MLPQR,A0,S_gls_ema,0.061111111111111116,0.03338884266959271
WN,MLPQR,A0,S_gls_emp,0.05666666666666667,0.011547005383792518
WN,MLPQR,A0,S_gls_hybrid,0.04888888888888889,0.008388704928078607
WN,MLPQR,A0,S_gls_pert,0.23444444444444446,0.010715167512214397
WN,MLPQR,A0,S_gls_pool,0.022222222222222223,0.005091750772173156
WN,MLPQR,A0,S_mean,0.26666666666666666,0.00881917103688199
WN,MLPQR,A1,S_gls_b,0.6088888888888889,0.005091750772173049
WN,MLPQR,A1,S_gls_ema,0.4577777777777778,0.09674326467128994
WN,MLPQR,A1,S_gls_emp,0.6055555555555555,0.022194427061598004
WN,MLPQR,A1,S_gls_hybrid,0.5622222222222222,0.012619796324000634
WN,MLPQR,A1,S_gls_pert,0.6044444444444445,0.006938886664887123
WN,MLPQR,A1,S_gls_pool,0.39666666666666667,0.05206833117271103
WN,MLPQR,A1,S_mean,0.8566666666666666,0.014529663145135529
WN,MLPQR,A1p,S_gls_b,0.6088888888888889,0.005091750772173049
WN,MLPQR,A1p,S_gls_ema,0.4577777777777778,0.09674326467128994
WN,MLPQR,A1p,S_gls_emp,0.6055555555555555,0.022194427061598004
WN,MLPQR,A1p,S_gls_hybrid,0.5622222222222222,0.012619796324000634
WN,MLPQR,A1p,S_gls_pert,0.6044444444444445,0.006938886664887123
WN,MLPQR,A1p,S_gls_pool,0.39666666666666667,0.05206833117271103
WN,MLPQR,A1p,S_mean,0.8566666666666666,0.014529663145135529
WN,MLPQR,A2,S_gls_b,0.6077777777777778,0.013471506281091224
WN,MLPQR,A2,S_gls_ema,0.44222222222222224,0.10905316406502194
WN,MLPQR,A2,S_gls_emp,0.5755555555555555,0.02834966849371796
WN,MLPQR,A2,S_gls_hybrid,0.5477777777777778,0.015396007178390007
WN,MLPQR,A2,S_gls_pert,0.5955555555555555,0.00509175077217317
WN,MLPQR,A2,S_gls_pool,0.3977777777777778,0.06049181150584977
WN,MLPQR,A2,S_mean,0.8355555555555556,0.013877773329774256
WN,MLPQR,A3,S_gls_b,0.3033333333333333,0.017638342073763927
WN,MLPQR,A3,S_gls_ema,0.06222222222222223,0.02912298316018035
WN,MLPQR,A3,S_gls_emp,0.10444444444444445,0.02673602092336882
WN,MLPQR,A3,S_gls_hybrid,0.11111111111111112,0.015752718754175353
WN,MLPQR,A3,S_gls_pert,0.29444444444444445,0.0171053381314896
WN,MLPQR,A3,S_gls_pool,0.02666666666666667,0.005773502691896256
WN,MLPQR,A3,S_mean,0.30777777777777776,0.026943012562182535
WN,MLPQR,A4,S_gls_b,0.35666666666666663,0.01732050807568873
WN,MLPQR,A4,S_gls_ema,0.11222222222222222,0.05388602512436507
WN,MLPQR,A4,S_gls_emp,0.1322222222222222,0.0019245008972987449
WN,MLPQR,A4,S_gls_hybrid,0.12888888888888891,0.011706281947614163
WN,MLPQR,A4,S_gls_pert,0.33555555555555555,0.02341256389522829
WN,MLPQR,A4,S_gls_pool,0.05111111111111111,0.00962250448649376
WN,MLPQR,A4,S_mean,0.3633333333333333,0.015275252316519473
WN,MLPQR,N0,S_gls_b,0.2833333333333333,0.008819171036881972
WN,MLPQR,N0,S_gls_ema,0.07,0.04
WN,MLPQR,N0,S_gls_emp,0.08777777777777777,0.006938886664887116
WN,MLPQR,N0,S_gls_hybrid,0.10444444444444445,0.006938886664887113
WN,MLPQR,N0,S_gls_pert,0.2811111111111111,0.006938886664887143
WN,MLPQR,N0,S_gls_pool,0.02888888888888889,0.008388704928078609
WN,MLPQR,N0,S_mean,0.3022222222222222,0.008388704928078597
WN,MLPQR_CAL,A0,S_gls_b,0.23222222222222222,0.013471506281091273
WN,MLPQR_CAL,A0,S_gls_ema,0.04888888888888889,0.0333888426695927
WN,MLPQR_CAL,A0,S_gls_emp,0.05111111111111111,0.012619796324000608
WN,MLPQR_CAL,A0,S_gls_hybrid,0.04666666666666667,0.009999999999999995
WN,MLPQR_CAL,A0,S_gls_pert,0.23111111111111113,0.011706281947614156
WN,MLPQR_CAL,A0,S_gls_pool,0.016666666666666666,0.005773502691896258
WN,MLPQR_CAL,A0,S_mean,0.24444444444444446,0.0069388866648871245
WN,MLPQR_CAL,A1,S_gls_b,0.6,0.011547005383792535
WN,MLPQR_CAL,A1,S_gls_ema,0.4488888888888889,0.10001851680415837
WN,MLPQR_CAL,A1,S_gls_emp,0.5955555555555555,0.030245905752924872
WN,MLPQR_CAL,A1,S_gls_hybrid,0.5544444444444444,0.022194427061597893
WN,MLPQR_CAL,A1,S_gls_pert,0.5944444444444444,0.0038490017945975617
WN,MLPQR_CAL,A1,S_gls_pool,0.37333333333333335,0.06333333333333334
WN,MLPQR_CAL,A1,S_mean,0.85,0.02603416558635554
WN,MLPQR_CAL,A1p,S_gls_b,0.6,0.011547005383792535
WN,MLPQR_CAL,A1p,S_gls_ema,0.4488888888888889,0.10001851680415837
WN,MLPQR_CAL,A1p,S_gls_emp,0.5955555555555555,0.030245905752924872
WN,MLPQR_CAL,A1p,S_gls_hybrid,0.5544444444444444,0.022194427061597893
WN,MLPQR_CAL,A1p,S_gls_pert,0.5944444444444444,0.0038490017945975617
WN,MLPQR_CAL,A1p,S_gls_pool,0.37333333333333335,0.06333333333333334
WN,MLPQR_CAL,A1p,S_mean,0.85,0.02603416558635554
WN,MLPQR_CAL,A2,S_gls_b,0.6033333333333334,0.0057735026918962545
WN,MLPQR_CAL,A2,S_gls_ema,0.4266666666666667,0.12454361128179603
WN,MLPQR_CAL,A2,S_gls_emp,0.5688888888888889,0.034694433324435524
WN,MLPQR_CAL,A2,S_gls_hybrid,0.5333333333333333,0.0033333333333332993
WN,MLPQR_CAL,A2,S_gls_pert,0.5933333333333334,0.012018504251546616
WN,MLPQR_CAL,A2,S_gls_pool,0.37666666666666665,0.07218802609235904
WN,MLPQR_CAL,A2,S_mean,0.8322222222222222,0.018954135676924475
WN,MLPQR_CAL,A3,S_gls_b,0.28777777777777774,0.01387777332977424
WN,MLPQR_CAL,A3,S_gls_ema,0.052222222222222225,0.030245905752924893
WN,MLPQR_CAL,A3,S_gls_emp,0.08777777777777777,0.02364866294865862
WN,MLPQR_CAL,A3,S_gls_hybrid,0.09888888888888887,0.015030832509409644
WN,MLPQR_CAL,A3,S_gls_pert,0.2866666666666667,0.014529663145135593
WN,MLPQR_CAL,A3,S_gls_pool,0.023333333333333334,0.005773502691896256
WN,MLPQR_CAL,A3,S_mean,0.29555555555555557,0.013471506281091259
WN,MLPQR_CAL,A4,S_gls_b,0.34111111111111114,0.01895413567692441
WN,MLPQR_CAL,A4,S_gls_ema,0.09777777777777778,0.054194437325587555
WN,MLPQR_CAL,A4,S_gls_emp,0.11222222222222222,0.013471506281091266
WN,MLPQR_CAL,A4,S_gls_hybrid,0.11222222222222222,0.011706281947614156
WN,MLPQR_CAL,A4,S_gls_pert,0.32555555555555554,0.010715167512214359
WN,MLPQR_CAL,A4,S_gls_pool,0.04555555555555555,0.010183501544346309
WN,MLPQR_CAL,A4,S_mean,0.3322222222222222,0.012619796324000643
WN,MLPQR_CAL,N0,S_gls_b,0.27111111111111114,0.005091750772173131
WN,MLPQR_CAL,N0,S_gls_ema,0.05777777777777778,0.028738927014172362
WN,MLPQR_CAL,N0,S_gls_emp,0.07666666666666667,0.01154700538379251
WN,MLPQR_CAL,N0,S_gls_hybrid,0.08666666666666667,0.010000000000000004
WN,MLPQR_CAL,N0,S_gls_pert,0.2677777777777777,0.0050917507721731795
WN,MLPQR_CAL,N0,S_gls_pool,0.02666666666666667,0.008819171036881967
WN,MLPQR_CAL,N0,S_mean,0.29,0.014529663145135582
WN,ORACLE,A0,S_gls_b,0.0,0.0
WN,ORACLE,A0,S_gls_ema,0.0,0.0
WN,ORACLE,A0,S_gls_emp,0.0,0.0
WN,ORACLE,A0,S_gls_hybrid,0.0,0.0
WN,ORACLE,A0,S_gls_pert,0.0,0.0
WN,ORACLE,A0,S_gls_pool,0.0,0.0
WN,ORACLE,A0,S_mean,0.0,0.0
WN,ORACLE,A1,S_gls_b,1.0,0.0
WN,ORACLE,A1,S_gls_ema,1.0,0.0
WN,ORACLE,A1,S_gls_emp,1.0,0.0
WN,ORACLE,A1,S_gls_hybrid,1.0,0.0
WN,ORACLE,A1,S_gls_pert,1.0,0.0
WN,ORACLE,A1,S_gls_pool,1.0,0.0
WN,ORACLE,A1,S_mean,1.0,0.0
WN,ORACLE,A1p,S_gls_b,1.0,0.0
WN,ORACLE,A1p,S_gls_ema,1.0,0.0
WN,ORACLE,A1p,S_gls_emp,1.0,0.0
WN,ORACLE,A1p,S_gls_hybrid,1.0,0.0
WN,ORACLE,A1p,S_gls_pert,1.0,0.0
WN,ORACLE,A1p,S_gls_pool,1.0,0.0
WN,ORACLE,A1p,S_mean,1.0,0.0
WN,ORACLE,A2,S_gls_b,0.9744444444444444,0.01071516751221438
WN,ORACLE,A2,S_gls_ema,0.9744444444444444,0.01071516751221438
WN,ORACLE,A2,S_gls_emp,0.9788888888888888,0.005091750772173085
WN,ORACLE,A2,S_gls_hybrid,0.9766666666666666,0.006666666666666626
WN,ORACLE,A2,S_gls_pert,0.9744444444444444,0.01071516751221438
WN,ORACLE,A2,S_gls_pool,0.9744444444444444,0.01071516751221438
WN,ORACLE,A2,S_mean,0.9744444444444444,0.01071516751221438
WN,ORACLE,A3,S_gls_b,0.06333333333333334,0.013333333333333327
WN,ORACLE,A3,S_gls_ema,0.06333333333333334,0.013333333333333327
WN,ORACLE,A3,S_gls_emp,0.0788888888888889,0.030971910810591887
WN,ORACLE,A3,S_gls_hybrid,0.06666666666666667,0.02185812841434
WN,ORACLE,A3,S_gls_pert,0.06333333333333334,0.013333333333333327
WN,ORACLE,A3,S_gls_pool,0.06333333333333334,0.013333333333333327
WN,ORACLE,A3,S_mean,0.06333333333333334,0.013333333333333327
WN,ORACLE,A4,S_gls_b,0.18333333333333335,0.0360555127546399
WN,ORACLE,A4,S_gls_ema,0.18333333333333335,0.0360555127546399
WN,ORACLE,A4,S_gls_emp,0.21,0.034641016151377546
WN,ORACLE,A4,S_gls_hybrid,0.19333333333333336,0.032145502536643195
WN,ORACLE,A4,S_gls_pert,0.18333333333333335,0.0360555127546399
WN,ORACLE,A4,S_gls_pool,0.18333333333333335,0.0360555127546399
WN,ORACLE,A4,S_mean,0.18333333333333335,0.0360555127546399
WN,ORACLE,N0,S_gls_b,0.043333333333333335,0.016666666666666663
WN,ORACLE,N0,S_gls_ema,0.043333333333333335,0.016666666666666663
WN,ORACLE,N0,S_gls_emp,0.06444444444444444,0.01953155092360772
WN,ORACLE,N0,S_gls_hybrid,0.04666666666666667,0.017638342073763934
WN,ORACLE,N0,S_gls_pert,0.043333333333333335,0.016666666666666663
WN,ORACLE,N0,S_gls_pool,0.043333333333333335,0.016666666666666663
WN,ORACLE,N0,S_mean,0.043333333333333335,0.016666666666666663
